Date,Team 1,Team 2,Venue (wrt Team 1),Predicted Spread,DK Line (Time of Bet),Closing Line,Actual Score,Units Risked,Error,Vegas Error,CLV,W/L,Payoff
1/24/2026,Bowling Green,Toledo,A,Bowling Green -0.92,Toledo +1.5 (-122),Toledo +1,"73-72, Toledo",0,1.92,2,0.5,WIN,0
1/24/2026,Texas A&M Corpus Chris,Incarnate Word,A,Texas A&M Corpus Chris -1.47,Incarnate Word +3.5 (-105),Incarnate Word +1,"79-71, Texas A&M Corpus Chris",0,6.53,7,2.5,LOSS,0
1/24/2026,Portland St.,Idaho,A,Idaho -4.17,Idaho -2.5 (-105),Idaho -1.5,"69-66, Portland St.",0,7.17,4.5,-1,LOSS,0
1/24/2026,Sacramento St.,Eastern Washington,A,Eastern Washington -5.98,Eastern Washington -5.5 (-112),Eastern Washington -5.5,"75-67, Eastern Washington",0,2.02,2.5,0,WIN,0
1/24/2026,UC Riverside,UC Davis,A,UC Davis -9.73,UC Davis -8.5 (-112),UC Davis -9.5,"74-66, UC Davis",0,1.73,1.5,1,LOSS,0
1/24/2026,Tennessee Tech,SIU Edwardsville,A,Siu Edwardsville -7.4,Tennessee Tech +7.5 (-118),Tennessee Tech +7,"62-58, SIU Edwardsville",0,3.4,3,0.5,WIN,0
1/24/2026,Utah  ,BYU,A,BYU -14.79,Utah +18.5 (-105),Utah +19.5,"91-78, BYU",0,1.79,6.5,-1,WIN,0
1/24/2026,Alabama St.,Prairie View A&M,A,Prairie View A&M -2.89,Alabama St. +3.5 (-105),Alabama St. -1,"95-80, Alabama St.",0,17.89,14,4.5,WIN,0
1/24/2026,TCU,Baylor,A,Baylor -2.6,TCU +3.5 (-105),TCU +4.5,"97-90, TCU",0,9.6,11.5,-1,WIN,0
1/24/2026,Northwestern,UCLA,A,UCLA -3.49,Northwestern +7.5 (-112),Northwestern +7.5,"71-64, Northwestern",1,10.49,14.5,0,WIN,0.892857143
1/24/2026,Boston College,Notre Dame,A,Notre Dame -6.23,Boston College +7.5 (-112),Boston College +7.5,"68-64, Notre Dame",0,2.23,3.5,0,WIN,0
1/24/2026,Arkansas Pine Bluff,Southern,A,Southern -5.74,Arkansas Pine Bluff +7.5 (-105),Arkansas Pine Bluff +9,"75-74, Arkansas Pine Bluff",0,6.74,10,-1.5,WIN,0
1/24/2026,Idaho St.,Montana  ,A,Montana -4.55,Montana -4.5 (-108),Montana -4.5,"69-60, Montana",0,4.45,4.5,0,WIN,0
1/24/2026,Pepperdine,Washington St.,A,Washington St. -10.63,Washington St. -10.5 (-115),Washington St. -11,"95-79, Washington St.",0,5.37,5,0.5,WIN,0
1/24/2026,Central Michigan,Western Michigan,A,Western Michigan -6.68,Western Michigan -5.5 (-110),Western Michigan -5,"77-65, Western Michigan",0,5.32,7,-0.5,WIN,0
1/24/2026,Alcorn St.,Florida A&M,A,Florida A&M -9.63,Florida A&M -7.5 (-110),Florida A&M -8.5,"66-58, Florida A&M",0,1.63,0.5,1,WIN,0
1/24/2026,Seattle,Pacific,A,Pacific -2.77,Pacific -2.5 (-108),Pacific -2,"56-54, Pacific",0,0.77,0,-0.5,LOSS,0
1/24/2026,Cal St. Fullerton,Cal Poly,A,Cal St. Fullerton -0.24,Cal Poly +1.5 (-122),Cal Poly +1.5,"93-78, Cal St. Fullerton",0,14.76,13.5,0,LOSS,0
1/24/2026,UC Santa Barbara,Long Beach St.,A,UC Santa Barbara -2.15,Long Beach St. +4.5 (-110),Long Beach St. +4.5,"74-71, UC Santa Barbara",0,0.85,1.5,0,WIN,0
1/24/2026,Lafayette,Lehigh,A,Lehigh -3.19,Lafayette +5.5 (-108),Lafayette +2,"64-59, Lehigh",0,1.81,3,3.5,WIN,0
1/24/2026,Manhattan,Iona,A,Iona -8.69,Iona -8.5 (-110),Iona -7.5,"66-57, Iona",0,0.31,1.5,-1,WIN,0
1/24/2026,Canisius,Fairfield,A,Fairfield -11.55,Fairfield -10.5 (-105),Fairfield -10.5,"61-55, Fairfield",0,5.55,4.5,0,LOSS,0
1/24/2026,Grand Canyon,Fresno St.,A,Grand Canyon -4.61,Grand Canyon -3.5 (-115),Grand Canyon -4.5,"68-57, Grand Canyon",0,6.39,6.5,1,WIN,0
1/24/2026,Kansas,Kansas St.,A,Kansas -6.42,Kansas -4.5 (-112),Kansas -5,"86-62, Kansas",0,17.58,19,0.5,WIN,0
1/24/2026,Utah Valley,Cap Baptist,A,Cal Baptist -1.14,Cal Baptist +1.5 (-118),Cal Baptist +1,"78-71, Cal Baptist",0,5.86,8,0.5,WIN,0
1/24/2026,California,Stanford,A,Stanford -5.73,Stanford -4.5 (-110),Stanford -4.5,"78-66, California",0,17.73,16.5,0,LOSS,0
1/24/2026,Nevada,New Mexico  ,A,New Mexico -5.37,Nevada +7.5 (-112),Nevada +8.5,"80-73, New Mexico",0,1.63,1.5,-1,WIN,0
1/24/2026,Illinois Chicago,Bradley,A,Bradley -3.53,Illinois Chicago +7 (-110),Illinois Chicago +7,"85-70, Illinois Chicago",0,18.53,22,0,WIN,0
1/24/2026,San Francisco,Gonzaga,A,Gonzaga -16.21,San Francisco +17.5 (-115),San Francisco +16,"68-66, Gonzaga",0,14.21,14,1.5,WIN,0
1/24/2026,Saint Mary's,Portland,A,Saint Mary's -9.89,Portland +14.5 (-112),Portland +14,"75-69, Saint Mary's",1,3.89,8,0.5,WIN,0.892857143
